Question Number,Question Type,Question,Answer
1.i,Fill in the blanks,(-3) × 4 + (-2) = ____,-14
1.ii,Fill in the blanks,15 ÷ (-3) × 2 = ____,-10
1.iii,Fill in the blanks,(-8) + 3 × (-2) = ____,-14
1.iv,Fill in the blanks,(-27) ÷ 9 × (-3) = ____,9
2.i,True or False,In the expression 8 + (-3) × 4 multiplication is done first,True
2.ii,True or False,In the expression 24 ÷ (-3) × 2 division is done first,True
2.iii,True or False,In the expression (-5) + 3 × (-2) addition is done first,False
3.i,Evaluate,(-7) × 8 + (-3),-59
3.ii,Evaluate,36 ÷ (-4) × (-3),27
3.iii,Evaluate,(-5) + 4 × (-3),-17
3.iv,Evaluate,(-48) ÷ 6 × (-2),16
4,Word Problem,"A shopkeeper buys 25 kg of sugar at the rate of ₹42 per kg and sells it at ₹45 per kg. Find his profit.",₹75
5,Word Problem,"The temperature at 12 noon was 10°C above zero. If it decreases at the rate of 2°C per hour, what will be the temperature at 8 pm?",-6°C
6,Word Problem,"A factory produces 156 cars in 12 days. How many cars will it produce in 1 day?",13 cars
7,Word Problem,"In a quiz competition, a team scores 30 marks for each correct answer and (-10) marks for each wrong answer. If they attempt 8 questions and score 160 marks, how many questions did they answer correctly?",7 questions
8,Multiple Choice,"(-4) × 7 + (-2) is equal to","(iii) -30"
9,Multiple Choice,"48 ÷ (-6) × (-2) is equal to","(ii) 16"
10,Multiple Choice,"(-9) + 4 × (-5) is equal to","(iv) -29"
