Question Number,Question Type,Question,Answer
1.i,Fill in the blanks,(-3) × (-4) = ____,12
1.ii,Fill in the blanks,(-8) × ____ = 64,-8
1.iii,Fill in the blanks,____ × (-1) = 25,-25
1.iv,Fill in the blanks,(-6) × ____ = -42,7
2.i,True or False,The product of two negative integers is always positive,True
2.ii,True or False,The product of a positive integer and a negative integer is always negative,True
2.iii,True or False,(-1) × (-1) × (-1) = -1,True
3.i,Multiplication,(-2) × (-3) × (-4),24
3.ii,Multiplication,(-8) × 5 × (-3),120
3.iii,Multiplication,(-12) × (-7),-84
3.iv,Multiplication,15 × (-6),-90
4,Word Problem,"In a quiz competition positive marks are given for correct answers and negative marks are given for wrong answers. If a candidate scores 3 marks for each correct answer and (-2) marks for each wrong answer, what will be his score if he gives 4 correct and 3 wrong answers?",6
5,Word Problem,"A person saves ₹2000 in January and spends ₹1000 in February. In March he spends ₹800 and in April he saves ₹700. Find his total savings.",₹900
6,Word Problem,"A lift can carry 12 persons at a time. How many trips are required to carry 132 persons?",11
7,Word Problem,"A shopkeeper buys 120 eggs at the rate of ₹4 per egg. Out of these 12 eggs were broken. He sold the remaining eggs at the rate of ₹5 per egg. Find his profit or loss.",₹48 profit
8,Multiple Choice,"The product of (-36) × (-1) × 4 is equal to","(i) 144"
9,Multiple Choice,"The product of (-17) × 0 × (-19) is equal to","(i) 0"
10,Multiple Choice,"The product of (-1) × (-2) × (-3) × (-4) is equal to","(iv) 24"
